service_id,date,exception_type
47_R,20251115,1
48_R,20251116,1
49_R,20251107,1
50_R,20251105,1
50_R,20251106,1
53_R,20251108,1
54_R,20251115,1
54_R,20251122,1
54_R,20251129,1
54_R,20251206,1
54_R,20251213,1
54_R,20251220,1
55_R,20251111,1
56_R,20251109,1
57_R,20251116,1
57_R,20251123,1
57_R,20251130,1
57_R,20251207,1
57_R,20251214,1
58_R,20251114,1
58_R,20251121,1
58_R,20251128,1
58_R,20251205,1
58_R,20251212,1
58_R,20251219,1
59_R,20251110,1
59_R,20251112,1
59_R,20251113,1
59_R,20251117,1
59_R,20251118,1
59_R,20251119,1
59_R,20251120,1
59_R,20251124,1
59_R,20251125,1
59_R,20251126,1
59_R,20251127,1
59_R,20251201,1
59_R,20251202,1
59_R,20251203,1
59_R,20251204,1
59_R,20251208,1
59_R,20251209,1
59_R,20251210,1
59_R,20251211,1
59_R,20251215,1
59_R,20251216,1
59_R,20251217,1
59_R,20251218,1
